,University,Former names,Detailed_Location,Students,Undergraduates,Postgraduates,Url,Location,Established,Number of students,Tuition fee,Degree powers
57,University of Bedfordshire,,"Bedford, Luton Bedfordshire and Milton Keynes, Buckinghamshire, UK51°52′40″N 0°24′41″W﻿ / ﻿51.87778°N 0.41139°W﻿ / 51.87778; -0.41139Coordinates: 51°52′40″N 0°24′41″W﻿ / ﻿51.87778°N 0.41139°W﻿ / 51.87778; -0.41139","13,925 (2018/19)[2]","11,400 (2018/19)[2]","2,525 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_Bedfordshire,"Bedford, Luton, Milton Keynes",1993,"13,925","£9,250",Full
58,Newman University,Newman College of Higher EducationNewman University College,"Birmingham, England52°26′01″N 1°59′38″W﻿ / ﻿52.4336°N 1.9938°W﻿ / 52.4336; -1.9938","2,800 (2018/19)[2]","2,175 (2018/19)[2]",625 (2018/19)[2],"https://en.wikipedia.org/wiki/Newman_University,_Birmingham",Birmingham,2012 (1968),"2,800","£9,250",Taught
59,Staffordshire University,Central School of Science & TechnologyNorth Staffordshire Technical CollegeStaffordshire PolytechnicNorth Staffordshire Polytechnic ,"Staffordshire (Stafford; Stoke-on-Trent; Lichfield), Shropshire (Shrewsbury), England, United Kingdom","14,855 (2018/19)[4]","12,635 (2018/19)[4]","2,220 (2018/19)[4]",https://en.wikipedia.org/wiki/Staffordshire_University,"Lichfield, Shrewsbury, Stafford, Stoke",1992,"14,855","£9,250",Full
60,Southampton Solent University,,"Southampton, Hampshire, United Kingdom50°54′29″N 1°24′04″W﻿ / ﻿50.908°N 1.401°W﻿ / 50.908; -1.401Coordinates: 50°54′29″N 1°24′04″W﻿ / ﻿50.908°N 1.401°W﻿ / 50.908; -1.401","9,910 HE (2018/19)[2]","9,260 (2018/19)[2]",650 (2018/19)[2],https://en.wikipedia.org/wiki/Southampton_Solent_University,Southampton,2005 (1984),"9,910","£9,250",Full
61,Teesside University,,"Middlesbrough and Darlington, England, UK","20,104[7]","18,263[7]","2,138[7]",https://en.wikipedia.org/wiki/Teesside_University,"Darlington, Middlesbrough",1992 (1930),"18,665","£9,250",Full
62,Sheffield Hallam University,Sheffield PolytechnicSheffield City Polytechnic,"Sheffield, South Yorkshire, England53°22′45″N 1°27′53″W﻿ / ﻿53.379105°N 1.464706°W﻿ / 53.379105; -1.464706Coordinates: 53°22′45″N 1°27′53″W﻿ / ﻿53.379105°N 1.464706°W﻿ / 53.379105; -1.464706","30,715 (2018/19)[3]","24,320 (2018/19)[3]","6,400 (2018/19)[3]",https://en.wikipedia.org/wiki/Sheffield_Hallam_University,Sheffield,1992,"30,715","£9,250",Full
63,Regent's University London,,"Regent's Park, London, NW1 4NS, United Kingdom51°31′34″N 0°09′18″W﻿ / ﻿51.526°N 0.155°W﻿ / 51.526; -0.155Coordinates: 51°31′34″N 0°09′18″W﻿ / ﻿51.526°N 0.155°W﻿ / 51.526; -0.155","3,772 FT",,,https://en.wikipedia.org/wiki/Regent%27s_University_London,London,2013 (1984),–,- (private),Taught
64,Nottingham Trent University,,"Nottingham, England, UK","33,255 (2018/19)[4]","26,525 (2018/19)[4]","6,730 (2018/19)[4]",https://en.wikipedia.org/wiki/Nottingham_Trent_University,Nottingham,1992 (1843),"33,255","£9,250",Full
65,University of Kent,,"Canterbury, Medway and Tonbridge, United Kingdom; Brussels, Belgium; Athens, Greece; Paris, France; Rome, Italy","19,265 (2018/19)[5]","15,550 (2018/19)[5]","3,715 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Kent,"Canterbury, Medway, Tonbridge, Athens, Brussels, Paris, Rome",1965,"19,265","£9,250",Full
66,Plymouth University,"
Plymouth Polytechnic
Polytechnic South West
Rolle College
Exeter College of Art and Design
Seale-Hayne College
","Plymouth, England, UKCoordinates: 50°22′27″N 4°08′19″W﻿ / ﻿50.374121°N 4.138512°W﻿ / 50.374121; -4.138512","23,155[5]","20,080[5]","3,075[5]",https://en.wikipedia.org/wiki/Plymouth_University,Plymouth,1992 (1862)[13][14],"19,645","£9,250",Full
